# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG
# 
  260,19010101,  -49
  260,19010102,  -18
  260,19010103,  -26
  260,19010104,  -65
  260,19010105,  -60
  260,19010106, -100
  260,19010107,  -92
  260,19010108,  -49
  260,19010109,   11
  260,19010110,   15
  260,19010111,  -19
  260,19010112,  -64
  260,19010113,  -44
  260,19010114,  -24
  260,19010115,    7
  260,19010116,   -4
  260,19010117,   18
  260,19010118,   -2
  260,19010119,   34
  260,19010120,   57
  260,19010121,   72
  260,19010122,   73
  260,19010123,   20
  260,19010124,   16
  260,19010125,   58
  260,19010126,   41
  260,19010127,   74
  260,19010128,   29
  260,19010129,   -3
  260,19010130,    7
  260,19010131,    7
  260,19010201,    1
  260,19010202,   -9
  260,19010203,  -12
  260,19010204,  -44
  260,19010205,  -16
  260,19010206,  -18
  260,19010207,  -24
  260,19010208,   16
  260,19010209,   20
  260,19010210,   21
  260,19010211,    1
  260,19010212,  -17
  260,19010213,  -56
  260,19010214,  -77
  260,19010215,  -62
  260,19010216,   18
  260,19010217,   -8
  260,19010218,  -22
  260,19010219,  -19
  260,19010220,  -67
  260,19010221,  -52
  260,19010222,  -15
  260,19010223,   16
  260,19010224,   21
  260,19010225,   36
  260,19010226,   29
  260,19010227,   44
  260,19010228,   54
  260,19010301,   51
  260,19010302,   63
  260,19010303,   64
  260,19010304,   53
  260,19010305,   69
  260,19010306,   48
  260,19010307,   41
  260,19010308,   44
  260,19010309,   27
  260,19010310,   20
  260,19010311,   23
  260,19010312,   46
  260,19010313,   48
  260,19010314,   39
  260,19010315,   57
  260,19010316,   74
  260,19010317,   55
  260,19010318,   39
  260,19010319,   36
  260,19010320,   31
  260,19010321,   19
  260,19010322,   13
  260,19010323,   23
  260,19010324,   23
  260,19010325,    4
  260,19010326,  -14
  260,19010327,  -16
  260,19010328,  -13
  260,19010329,   -6
  260,19010330,   45
  260,19010331,   81
  260,19010401,   71
  260,19010402,   75
  260,19010403,  111
  260,19010404,   84
  260,19010405,   50
  260,19010406,   62
  260,19010407,   97
  260,19010408,  103
  260,19010409,   97
  260,19010410,   81
  260,19010411,   83
  260,19010412,   65
  260,19010413,   58
  260,19010414,   79
  260,19010415,   59
  260,19010416,   46
  260,19010417,   51
  260,19010418,   62
  260,19010419,   92
  260,19010420,  127
  260,19010421,  153
  260,19010422,  165
  260,19010423,  147
  260,19010424,  132
  260,19010425,  134
  260,19010426,   60
  260,19010427,   72
  260,19010428,   97
  260,19010429,   97
  260,19010430,   99
  260,19010501,   85
  260,19010502,  116
  260,19010503,  129
  260,19010504,   91
  260,19010505,   79
  260,19010506,   91
  260,19010507,   82
  260,19010508,   84
  260,19010509,   93
  260,19010510,   96
  260,19010511,  106
  260,19010512,  113
  260,19010513,  126
  260,19010514,  138
  260,19010515,  119
  260,19010516,  100
  260,19010517,   93
  260,19010518,   82
  260,19010519,  101
  260,19010520,  107
  260,19010521,  142
  260,19010522,  143
  260,19010523,  127
  260,19010524,  141
  260,19010525,  137
  260,19010526,  166
  260,19010527,  138
  260,19010528,  157
  260,19010529,  182
  260,19010530,  181
  260,19010531,  171
  260,19010601,  181
  260,19010602,  161
  260,19010603,  156
  260,19010604,  148
  260,19010605,  158
  260,19010606,  162
  260,19010607,  133
  260,19010608,  139
  260,19010609,  146
  260,19010610,  148
  260,19010611,  126
  260,19010612,  109
  260,19010613,  101
  260,19010614,  112
  260,19010615,  116
  260,19010616,  114
  260,19010617,   97
  260,19010618,   95
  260,19010619,  122
  260,19010620,  155
  260,19010621,  181
  260,19010622,  207
  260,19010623,  178
  260,19010624,  139
  260,19010625,  137
  260,19010626,  133
  260,19010627,  137
  260,19010628,  164
  260,19010629,  170
  260,19010630,  181
  260,19010701,  154
  260,19010702,  169
  260,19010703,  159
  260,19010704,  181
  260,19010705,  157
  260,19010706,  172
  260,19010707,  151
  260,19010708,  154
  260,19010709,  170
  260,19010710,  199
  260,19010711,  218
  260,19010712,  231
  260,19010713,  210
  260,19010714,  162
  260,19010715,  158
  260,19010716,  180
  260,19010717,  190
  260,19010718,  206
  260,19010719,  203
  260,19010720,  204
  260,19010721,  207
  260,19010722,  182
  260,19010723,  173
  260,19010724,  172
  260,19010725,  172
  260,19010726,  158
  260,19010727,  159
  260,19010728,  172
  260,19010729,  188
  260,19010730,  198
  260,19010731,  194
  260,19010801,  183
  260,19010802,  179
  260,19010803,  166
  260,19010804,  171
  260,19010805,  163
  260,19010806,  142
  260,19010807,  161
  260,19010808,  182
  260,19010809,  196
  260,19010810,  215
  260,19010811,  180
  260,19010812,  164
  260,19010813,  156
  260,19010814,  180
  260,19010815,  159
  260,19010816,  154
  260,19010817,  151
