"Rank" "Country" "Quality of Life Index" "Purchasing Power Index" "Safety Index" "Health Care Index" "Cost of Living Index" "Property Price to Income Ratio" "Traffic Commute Time Index" "Pollution Index" "Climate Index"
1	Denmark	197.75	117.53	77.98	77.07	93.30	7.22	28.53	23.60	82.42
2	Finland	195.30	119.42	76.30	75.40	81.70	7.49	33.23	12.07	58.63
3	Netherlands	191.25	109.48	71.06	81.08	82.69	6.74	32.73	27.16	86.93
4	Switzerland	190.81	126.15	78.24	71.73	131.39	10.94	29.28	23.01	79.78
5	Austria	190.22	98.69	79.59	78.80	81.47	9.58	27.02	22.87	77.74
6	Germany	190.04	125.01	63.35	75.44	74.35	8.05	31.25	27.32	82.53
7	Australia	188.70	122.98	57.45	76.21	84.30	7.41	36.32	24.76	92.41
8	New Zealand	182.40	98.61	60.85	71.95	83.41	8.18	34.48	21.77	96.10
9	United States	180.56	127.62	50.42	68.38	72.95	3.34	34.74	31.70	78.23
10	Sweden	176.81	113.01	50.74	70.42	83.70	10.52	30.68	19.10	75.08
11	Estonia	176.44	74.82	79.17	71.35	57.65	9.24	32.73	17.17	63.61
12	Norway	176.27	107.95	56.67	74.66	113.70	8.71	31.04	20.22	71.89
13	Japan	176.04	107.35	86.90	81.72	86.58	12.64	44.48	41.66	84.82
14	Slovenia	175.36	80.33	75.29	64.69	59.65	8.38	27.78	26.25	76.30
15	Spain	174.92	90.67	63.26	77.49	61.75	8.00	31.42	38.11	93.94
16	Canada	173.90	118.92	60.72	70.58	72.48	6.12	36.07	27.70	52.82
17	United Kingdom	171.89	108.54	58.80	74.19	75.85	9.31	35.75	37.71	87.92
18	Portugal	166.71	61.97	65.46	69.50	55.86	10.01	30.28	30.53	97.45
19	France	166.22	101.21	54.71	78.03	83.86	9.93	35.03	40.41	89.80
20	Belgium	164.00	98.91	57.83	80.43	83.35	7.10	34.63	48.92	86.14
21	United Arab Emirates	163.54	124.78	81.25	63.48	67.21	4.88	37.49	55.78	45.43
22	Ireland	163.53	96.10	56.18	53.02	85.45	7.63	37.47	28.66	89.43
23	Taiwan	163.28	106.38	79.26	82.00	65.42	14.35	33.15	63.25	83.79
24	Croatia	162.36	59.77	73.00	63.83	55.06	11.09	29.55	32.73	88.83
25	Czech Republic	162.01	76.35	71.19	75.36	50.09	12.73	30.30	41.02	77.87
26	Qatar	159.62	125.05	84.30	70.50	65.37	5.15	34.78	70.24	45.48
27	South Korea	155.38	109.36	64.17	83.40	82.94	14.05	37.24	52.87	67.20
28	Slovakia	155.37	67.29	69.85	64.42	50.41	9.88	32.17	40.67	77.66
29	Israel	152.25	102.30	63.10	74.05	86.53	13.85	36.73	60.27	93.61
30	Singapore	150.45	95.89	83.77	69.61	91.40	22.20	45.99	33.94	57.99
31	Saudi Arabia	149.58	131.46	63.31	60.19	47.86	2.79	34.01	71.72	41.02
32	Lithuania	148.98	57.29	62.41	66.81	53.24	13.02	28.69	33.14	68.76
33	Poland	146.58	74.42	63.77	62.08	45.20	9.77	33.60	51.12	75.80
34	Italy	146.13	81.07	55.47	68.01	79.06	9.88	37.01	53.11	91.38
35	Romania	144.05	66.20	70.96	54.56	39.71	9.10	33.40	53.04	76.19
36	South Africa	137.89	99.83	24.29	62.96	48.05	3.49	43.26	62.15	95.98
37	Greece	137.43	53.80	60.93	54.18	63.15	9.46	32.16	52.85	92.58
38	Hungary	132.31	50.62	63.49	51.09	48.60	13.32	34.12	46.57	78.51
39	Argentina	131.85	60.15	38.21	71.31	53.74	10.68	41.55	53.64	98.22
40	Bulgaria	129.69	54.44	60.30	52.11	41.21	8.58	31.12	63.03	81.58
41	Bosnia And Herzegovina	129.33	52.40	59.95	55.90	39.26	11.56	27.48	61.56	78.89
42	Turkey	127.64	53.78	58.94	70.42	41.80	8.95	46.29	69.44	93.16
43	Mexico	126.42	58.18	48.95	68.62	33.56	7.80	42.03	66.13	82.49
44	Serbia	123.48	41.81	62.24	53.42	39.59	17.22	28.95	56.58	82.93
45	Chile	122.73	54.53	53.52	61.90	55.24	13.09	35.07	66.79	90.21
46	India	122.09	79.27	55.84	67.39	26.88	9.73	46.76	75.89	65.68
47	Malaysia	116.05	72.98	36.95	65.64	44.73	9.62	37.60	66.52	58.11
48	Indonesia	112.89	37.49	55.28	65.95	39.74	13.07	42.75	60.66	68.19
49	Colombia	112.15	38.59	49.34	67.80	35.29	18.09	48.10	62.47	96.72
50	Hong Kong	110.28	82.86	79.10	63.81	78.72	41.08	41.26	69.35	83.64
51	Russia	103.32	51.11	54.80	56.77	43.89	11.44	48.26	63.26	44.70
52	Thailand	101.18	38.59	52.75	80.87	48.91	22.78	39.21	72.86	68.64
53	Pakistan	100.35	41.11	48.77	57.47	25.08	12.48	41.55	77.50	71.90
54	Brazil	100.13	41.55	29.45	52.65	51.33	16.26	45.27	59.48	94.23
55	China	99.43	72.28	60.56	62.88	44.56	28.20	42.55	85.89	78.81
56	Philippines	99.11	34.02	59.87	68.22	35.99	17.84	44.24	72.55	60.63
57	Ukraine	95.96	30.24	50.61	50.11	25.98	18.21	38.50	67.24	70.20
58	Iran	92.43	45.60	50.60	51.22	34.56	12.45	49.46	81.21	69.54
59	Egypt	84.42	24.67	46.28	44.42	25.69	12.68	46.69	87.64	91.98
60	Vietnam	81.09	30.09	47.78	52.45	39.44	21.34	31.10	88.10	71.24
