Title,Rating,Year,Actors,Runtime
Aloko Udapadi,9.6,2017
Dag II,9.4,2016
Aynabaji,9.4,2016
Wheels,9.4,2014
The Dark Knight,9,2008
Ayla: The Daughter of War,8.9,2017
Aruvi,8.9,2016
Inception,8.8,2010
Vikram Vedha,8.8,2017
Drishyam,8.8,2013
The Phantom of the Opera at the Royal Albert Hall,8.8,2011
Interstellar,8.6,2014
RangiTaranga,8.6,2015
Whiplash,8.5,2014
The Intouchables,8.5,2011
Dangal,8.5,2016
Arjun Reddy,8.5,2017
Dhuruvangal Pathinaaru,8.5,2016
Thani Oruvan,8.5,2015
Cyborgs: Heroes Never Die,8.5,2017
Ulidavaru Kandanthe,8.5,2014
Coco,8.4,2017
The Dark Knight Rises,8.4,2012
Django Unchained,8.4,2012
Kimi no na wa.,8.4,2016
WALL·E,8.4,2008
3 Idiots,8.4,2009
Sairat,8.4,2016
Jigarthanda,8.4,2014
Soodhu Kavvum,8.4,2013
Theeran Adhigaaram Ondru,8.4,2017
Vishwaroopam,8.4,2013
Lucia,8.4,2013
Inglourious Basterds,8.3,2009
Up,8.3,2009
Jagten,8.3,2012
Toy Story 3,8.3,2010
Jodaeiye Nader az Simin,8.3,2011
Drishyam,8.3,2015
Baahubali 2: The Conclusion,8.3,2017
Shahid,8.3,2012
Bilal: A New Breed of Hero,8.3,2015
Queen,8.3,2013
It's Such a Beautiful Day,8.3,2012
Premam,8.3,2015
Abad va yek rooz,8.3,2016
Bangalore Days,8.3,2014
1 - Nenokkadine,8.3,2014
Ustad Hotel,8.3,2012
"Montevideo, Bog te video!",8.3,2010
